Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option1 Linked To,Option2 Name,Option2 Value,Option2 Linked To,Option3 Name,Option3 Value,Option3 Linked To,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Unit Price Total Measure,Unit Price Total Measure Unit,Unit Price Base Measure,Unit Price Base Measure Unit,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Active ingredient (product.metafields.shopify.active-ingredient),Age group (product.metafields.shopify.age-group),Color (product.metafields.shopify.color-pattern),Constitutive ingredients (product.metafields.shopify.constitutive-ingredients),Cosmetic finish (product.metafields.shopify.cosmetic-finish),Cosmetic function (product.metafields.shopify.cosmetic-function),Dispenser type (product.metafields.shopify.dispenser-type),Eye shadow effect (product.metafields.shopify.eye-shadow-effect),Eyebrow enhancer color (product.metafields.shopify.eyebrow-enhancer-color),Face powder color (product.metafields.shopify.face-powder-color),Face powder type (product.metafields.shopify.face-powder-type),Flavor (product.metafields.shopify.flavor),Fragrance level (product.metafields.shopify.fragrance-level),Hair care finish (product.metafields.shopify.hair-care-finish),Heat settings (product.metafields.shopify.heat-settings),Lip gloss effect (product.metafields.shopify.lip-gloss-effect),Lip liner design (product.metafields.shopify.lip-liner-design),Lipstick effect (product.metafields.shopify.lipstick-effect),Makeup shade (product.metafields.shopify.makeup-color-shade),Makeup features (product.metafields.shopify.makeup-features),Mascara effect (product.metafields.shopify.mascara-effect),Moisturizer type (product.metafields.shopify.moisturizer-type),Occasion (product.metafields.shopify.occasion),Package type (product.metafields.shopify.package-type),Plate type (product.metafields.shopify.plate-type),Product benefits (product.metafields.shopify.product-benefits),Product certifications & standards (product.metafields.shopify.product-certifications-standards),Product form (product.metafields.shopify.product-form),Scent (product.metafields.shopify.scent),Season (product.metafields.shopify.season),Skin care effect (product.metafields.shopify.skin-care-effect),Skin care features (product.metafields.shopify.skin-care-features),Skin tone (product.metafields.shopify.skin-tone),Skin undertone (product.metafields.shopify.skin-undertone),Suitable for hair type (product.metafields.shopify.suitable-for-hair-type),Suitable for skin type (product.metafields.shopify.suitable-for-skin-type),Target gender (product.metafields.shopify.target-gender),Texture (product.metafields.shopify.texture),Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Status
12-piece-all-purpose-makeup-sponge-set-made-of-3-loose-powder-puffs-3-mini-air-cushion-puffs-3-beauty-eggs-and-3-mini-beauty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0766/5254/4213/files/Sbc265a5e67db43629f2fc870c8319c0cv.webp?v=1760215721,27,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12-piece-all-purpose-makeup-sponge-set-made-of-3-loose-powder-puffs-3-mini-air-cushion-puffs-3-beauty-eggs-and-3-mini-beauty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0766/5254/4213/files/Sb87808ee660b441ba72b2a7f764688d2T.webp?v=1760215720,28,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12-piece-all-purpose-makeup-sponge-set-made-of-3-loose-powder-puffs-3-mini-air-cushion-puffs-3-beauty-eggs-and-3-mini-beauty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0766/5254/4213/files/Sde1983b058344d42bc360c3057c757cat.webp?v=1760215721,29,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
transparent-storage-box-makeup-organizer-cosmetic-display-case-jewelry-organizer-desktop-holder-clear-makeup-organizer,Makeup Organizer,<p>Cosmetic display case and makeup organizer.</p>,The Beauty Vault,Health & Beauty,"","",true,Color,5ceng,,,,,,,,14:200006151#5ceng,400.0,dsers-fulfillment-service,deny,dsers-fulfillment-service,15.00,0.00,true,true,,,,,,https://cdn.shopify.com/s/files/1/0766/5254/4213/files/S497a21198e3949d691a4b4bce1580c0e2.webp?v=1760215472,1,"",false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0766/5254/4213/files/Sdd7ac82247554bf5bcecb49e8e5efe9bA.webp?v=1760215472,kg,,6.56,active
transparent-storage-box-makeup-organizer-cosmetic-display-case-jewelry-organizer-desktop-holder-clear-makeup-organizer,,,,,,,,,3ceng,,,,,,,,14:202010806#3ceng,400.0,dsers-fulfillment-service,deny,dsers-fulfillment-service,15.00,0.00,true,true,,,,,,https://cdn.shopify.com/s/files/1/0766/5254/4213/files/Sfd248ee2aa124ca785c038cd60086719m.webp?v=1760215472,2,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0766/5254/4213/files/S589b4474ce23458b8d8994bf4783c21fA.webp?v=1760215472,kg,,5.47,
transparent-storage-box-makeup-organizer-cosmetic-display-case-jewelry-organizer-desktop-holder-clear-makeup-organizer,,,,,,,,,7ceng,,,,,,,,14:200006152#7ceng,400.0,dsers-fulfillment-service,deny,dsers-fulfillment-service,15.00,0.00,true,true,,,,,,https://cdn.shopify.com/s/files/1/0766/5254/4213/files/Sbc82d17fcb02418f97c69d2f480169b5L.webp?v=1760215472,3,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0766/5254/4213/files/Sd33293d595e24609a8d25847ec7dd5749.webp?v=1760215472,kg,,11.22,
transparent-storage-box-makeup-organizer-cosmetic-display-case-jewelry-organizer-desktop-holder-clear-makeup-organizer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0766/5254/4213/files/S2792ae6299ec4891b612a91beab6f7736.webp?v=1760215472,4,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
transparent-storage-box-makeup-organizer-cosmetic-display-case-jewelry-organizer-desktop-holder-clear-makeup-organizer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0766/5254/4213/files/S93d21d613c59425182fab1f5e8ddc12dI.webp?v=1760215472,5,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
transparent-storage-box-makeup-organizer-cosmetic-display-case-jewelry-organizer-desktop-holder-clear-makeup-organizer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0766/5254/4213/files/S0ee22da7580e4caa8d0b28c5aaea0bf82.webp?v=1760215473,6,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
transparent-storage-box-makeup-organizer-cosmetic-display-case-jewelry-organizer-desktop-holder-clear-makeup-organizer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0766/5254/4213/files/Sb6860b4e85034ca6b6b8a4c07b170430m.webp?v=1760215472,7,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
transparent-storage-box-makeup-organizer-cosmetic-display-case-jewelry-organizer-desktop-holder-clear-makeup-organizer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0766/5254/4213/files/Sdd7ac82247554bf5bcecb49e8e5efe9bA.webp?v=1760215472,8,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
transparent-storage-box-makeup-organizer-cosmetic-display-case-jewelry-organizer-desktop-holder-clear-makeup-organizer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0766/5254/4213/files/S589b4474ce23458b8d8994bf4783c21fA.webp?v=1760215472,9,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
transparent-storage-box-makeup-organizer-cosmetic-display-case-jewelry-organizer-desktop-holder-clear-makeup-organizer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0766/5254/4213/files/Sd33293d595e24609a8d25847ec7dd5749.webp?v=1760215472,10,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
delicia-drench-shower-oil-cheirosa-59,Delicia Drench Shower Oil - Cheirosa 59,"<p>Enjoy a shower that cleans, hydrates, and brightens your skin. This oil-to-foam wash leaves your skin soft and healthy while supporting its natural barrier. With a fun woody vanilla scent, it makes every shower feel like a little celebration for your skin!</p>",The Beauty Vault,Health & Beauty > Personal Care > Cosmetics > Bath & Body > Body Wash,Skin Care,"",true,Title,Default Title,,,,,,,,,85.048569375,shopify,deny,manual,12.99,,true,true,,,,,'810912035553,https://cdn.shopify.com/s/files/1/0766/5254/4213/files/SERUMTEINTE_78.png?v=1760159712,1,"",false,,,,adults; teens; all-ages,,,,,,,,,,,,,,,,,,,,,,plastic-bottle; bottle,,,,liquid; cream; gel; foam; oil,vanilla; floral; sun-musk; plum; violet; amber,,,,,,,all-skin-types; sensitive,,,,oz,,,active
delicia-drench-body-butter-cheirosa-59-copy,Cheirosa 59 Delícia Drench Perfume Mist,"<p>Cheirosa 59 Delícia Drench Perfume Mist brings the sweet warmth of vanilla orchid and sugared violet with a cozy hint of sandalwood and amber. Inspired by 1959 bossa nova, this playful scent lifts your mood and leaves you smelling delightfully irresistible.</p>",The Beauty Vault,Health & Beauty > Personal Care > Cosmetics > Perfumes & Colognes > Body Mists,Fragrance,"",true,Title,Default Title,,,,,,,,,28.349523125,shopify,deny,manual,12.99,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0766/5254/4213/files/SERUM_TEINTE_77.png?v=1760158852,1,"",false,,,,teens; adults,,,,,,,,,,,,,,,,,,,,,everyday; casual; special-occasion,plastic-bottle,,,,spray,plum; vanilla; floral; sandalwood,winter; fall,,,,,,all-skin-types,,,,oz,,,active
delicia-drench-body-butter-cheirosa-59,Delicia Drench Body Butter - Cheirosa 59,"<p>Get ready for a moisture party with Delicia Drench Body Butter! This rich, whipped cream locks in hydration, soothes dry skin, and boosts your skin’s natural strength. With nourishing bacuri butter, calming Brazilian Soothing Complex, and skin-loving prebiotic hibiscus, your skin feels soft and happy all day. Plus, the sweet scents of vanilla orchid and sandalwood make every application feel like a mini celebration.</p>
<div class=""details"" open="""">
<div class=""accordion__content rte"" id=""clinical-study-results-accordion"">
<p> </p>
</div>
</div>",The Beauty Vault,Health & Beauty > Personal Care > Cosmetics > Skin Care > Lotions & Moisturizers,Skin Care,"",true,Title,Default Title,,,,,,,,,48.1941893125,shopify,deny,manual,12.99,,true,true,,,,,'810912035386,https://cdn.shopify.com/s/files/1/0766/5254/4213/files/SERUMTEINTE_76.png?v=1760157288,1,"",false,,,,teens; adults,,,,,,,,,,,,,,,,,,,,,,jar,,,,cream; lotion,,,,,,,,all-skin-types,,,,oz,,,active
bom-dia-bright-cream,Bom Dia Bright Cream - Cheirosa 40,"<p>Retexturize and brighten your skin with this daily moisture-rich body cream packed with exfoliating Fruit AHAs and Vitamin C. Bom Dia Bright Cream gives you silky-soft skin and a radiant glow, from head to toe. It smooths rough patches, evens skin tone, and minimizes dark spots while supporting collagen production and keeping skin hydrated. Say hello to a fresh, glowing you — every day is a good skin day! Plus, enjoy the delicious Cheirosa 40 scent, blending black amber plum, jasmine, and warm musk for a truly irresistible feel.</p>
<p class=""product__text caption-with-letter-spacing""> </p>
<p><br></p>",The Beauty Vault,Health & Beauty > Personal Care > Cosmetics > Skin Care > Lotions & Moisturizers,Fragrance,"",true,Suitable for skin type,all-skin-types,product.metafields.shopify.suitable-for-skin-type,,,,,,,,23.813599425,shopify,deny,manual,12.99,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0766/5254/4213/files/SERUM_TEINTE_75.png?v=1760156178,1,"",false,,,,adults; teens,,vitamin-c,,brightening; protecting; hydrating; moisturizing; exfoliating,,,,,,,,,,,,,,,,,,jar,,,,cream; lotion,,,,,,,,all-skin-types,,,https://cdn.shopify.com/s/files/1/0766/5254/4213/files/SERUM_TEINTE_75.png?v=1760156178,oz,,,active
brazilian-bum-bum-cream,Brazilian Bum Bum Cream - Cheirosa 62,"<p>This body cream firms, tightens, and hydrates your skin with a delicious pistachio, caramel, and vanilla scent. It smooths with Guaraná Extract and softens with Cupuaçu Butter. Antioxidant Açaí Oil and Brazil Nut Oil protect and brighten your skin. Light and fast-absorbing, it’s a playful treat for your body all day long.<br></p>",The Beauty Vault,Health & Beauty > Personal Care > Cosmetics > Skin Care > Lotions & Moisturizers,Fragrance,"",true,Suitable for skin type,all-skin-types,product.metafields.shopify.suitable-for-skin-type,,,,,,,'810912032026,23.813599425,shopify,deny,manual,12.99,,true,true,,,,,"",https://cdn.shopify.com/s/files/1/0766/5254/4213/files/SERUM_TEINTE_74.png?v=1760155096,1,"",false,,,,adults; teens,,,,brightening; protecting; hydrating; moisturizing,,,,,,,,,,,,,,,,,,jar,,,,cream; lotion,,,,,,,,all-skin-types,,,https://cdn.shopify.com/s/files/1/0766/5254/4213/files/SERUM_TEINTE_74.png?v=1760155096,oz,,,active
beija-flor-skin-renewing-body-wash-1,Beija Flor Skin-Renewing Body Wash,"<p> </p>
<p>Beija Flor Skin-Renewing Body Wash is a gentle, sulfate-free cleanser that smooths and moisturizes your skin with a retinol alternative and vegan squalane. Enjoy its fun, fruity floral scent of Brazilian jasmine and pink dragonfruit that brightens your shower time. This body wash helps renew skin and keeps it soft and glowing every day.</p>
<div open="""" class=""details"">
<div id=""ingredients-accordion"" class=""accordion__content rte"">
<div class=""product-all-ingredients"">
<p> </p>
</div>
</div>
</div>",The Beauty Vault,Health & Beauty > Personal Care > Cosmetics > Bath & Body > Body Wash,Skin Care,"",true,Title,Default Title,,,,,,,,,85.048569375,shopify,deny,manual,12.99,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0766/5254/4213/files/SERUMTEINTE_71_483b0dcf-d92f-40fb-a728-125801d05d12.png?v=1760154389,1,"",false,,,,adults; teens; all-ages,,,,,,,,,,,,,,,,,,,,,,plastic-bottle,,,,liquid; cream; gel,vanilla; floral; jasmine; sun-musk; lychee-essence; pink-dragon-fruit; hibiscus; ocean-breeze,,,,,,,all-skin-types; sensitive,,,,oz,,,active
beija-flor-skin-renewing-body-wash,Bom Dia Bright Body Wash - Cheirosa 40,"<div class=""benefits-container""><span><strong></strong></span></div>
<p>Bom Dia Bright Body Wash gently cleans and exfoliates with fruit-based acids and salicylic acid. This sulfate-free formula clears pores and softens skin without drying. Its subtle Cheirosa 40 fragrance leaves a warm, elegant scent. Safe for all skin types, it helps prevent bumps and supports a smooth, radiant complexion.</p>
<div open="""" class=""details"">
<div id=""ingredients-accordion"" class=""accordion__content rte"">
<div class=""product-all-ingredients"">
<p> </p>
</div>
</div>
</div>",The Beauty Vault,Health & Beauty > Personal Care > Cosmetics > Bath & Body > Body Wash,Skin Care,"",true,Title,Default Title,,,,,,,,,85.048569375,shopify,deny,manual,12.99,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0766/5254/4213/files/SERUMTEINTE_73.png?v=1760153665,1,"",false,,,,adults; teens; all-ages,,,,,,,,,,,,,,,,,,,,,,plastic-bottle,,,,liquid; cream; gel,vanilla; floral; jasmine; sun-musk; black-amber; plum,,,,,,,all-skin-types; sensitive,,,,oz,,,active
brazilian-play-moisturizing-shower-cream-gel,Brazilian Play Moisturizing Shower Cream-Gel,"<p>Experience the magic of this sulfate-free shower cream-gel, enriched with nourishing Cupuaçu Butter, Coconut Oil, and Açai Oil to lavish your skin in moisture and softness. Loaded with fatty acids that love your skin, it leaves a silky-smooth feel from head to toe. Coconut Oil keeps your skin supple, while Açai Oil delivers a burst of antioxidants. The fun Cheirosa 62™ fragrance sparkles with pistachio and salted caramel notes, making every shower a treat. Cleanse gently and hydrate deeply with Brazilian Play for skin that’s touchably soft and utterly delightful.</p>",The Beauty Vault,Health & Beauty > Personal Care > Cosmetics > Bath & Body > Body Wash,Skin Care,"",true,Title,Default Title,,,,,,,,,85.048569375,shopify,deny,manual,12.99,,true,true,,,,,"",https://cdn.shopify.com/s/files/1/0766/5254/4213/files/SERUMTEINTE_69.png?v=1760150226,1,"",false,,,,adults; teens,,,,,,,,,,,,,,,,,,,,,,plastic-bottle,,,,liquid; cream; gel,pistachio; cherry; vanilla; floral; jasmine; sandalwood,,,,,,,all-skin-types,,,,oz,,,active
rescue-revitalizing-hair-serum,Rescue Revitalizing Hair Serum,"<div class=""product-top"">
<div class=""desktop-5 tablet-3 mobile-3"" id=""product-right"">
<div id=""product-description"">
<div itemtype=""http://schema.org/Offer"" itemscope="""" itemprop=""offers""></div>
</div>
</div>
</div>
<p>Keep your hair flawless with Rescue Revitalizing Hair Serum, a light spray that shields your style from daily wear. Just spritz to refresh and enjoy a subtle, elegant scent. Perfect for keeping your look royal all day—just remember, it’s flammable, so no flames nearby!</p>
<div class=""clear""><br></div>
<div id=""related"" class=""desktop-12 tablet-6 mobile-3""></div>",The Beauty Vault,Health & Beauty > Personal Care > Hair Care > Hair Styling Products,"","",true,Title,Default Title,,,,,,,,,771.107029,shopify,deny,manual,45.00,75.00,true,true,,,,,'810130833849,https://cdn.shopify.com/s/files/1/0766/5254/4213/files/SERUMTEINTE_53.png?v=1760098806,1,"",false,,,,,,water,,,,,,,,,,shiny; glossy,,,,,,,,,,,,,,spray; liquid,,,,,,,,,unisex,,,lb,,0.00,active
platinum-genius-heating-element-flat-iron-copy,Gladiator Genius Heating Element Hair Revival Technology with Cool Tip,"<p>Get ready to transform your tresses with the 2022 Gladiator Genius Heating Element Hair Revival Technology Straightener! Its 1.25"" titanium plates emit Far Infrared Heat that locks in your hair’s moisture and color, leaving you with shiny, silky, and hassle-free locks.</p>
<p>Glide through straightening, curling, flicking, or waving with style! Enjoy perks like Nano Silver tech that tidies and styles, negative ions banishing frizz, a cool tip for comfy grip, and a swivel cord for fuss-free styling. With adjustable heat from 176°F to 450°F and dual voltage, this tool vibes with your hair and your travels!</p>",The Beauty Vault,Health & Beauty > Personal Care > Hair Care > Hair Styling Tools > Hair Straighteners,"","",true,Color,Rose Gold,,Heat settings,high,product.metafields.shopify.heat-settings,,,,,0.0,shopify,deny,manual,350.00,385.00,true,true,,,,,'810130834822,https://cdn.shopify.com/s/files/1/0766/5254/4213/files/SERUM_TEINTE_51_706d8c95-87bf-49af-ac8f-d180f121061e.png?v=1760098399,1,"",false,,,,,,,,,,,,,,,,,high,,,,,,,,,,titanium,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0766/5254/4213/files/SERUM_TEINTE_52_597c7504-2e99-4c0b-8d73-8677e98f21ab.png?v=1760098547,lb,,50.00,active
platinum-genius-heating-element-flat-iron-copy,,,,,,,,,Black,,,high,,,,,,0.0,shopify,deny,manual,350.00,385.00,true,true,,,,,"",https://cdn.shopify.com/s/files/1/0766/5254/4213/files/SERUM_TEINTE_52_597c7504-2e99-4c0b-8d73-8677e98f21ab.png?v=1760098547,2,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0766/5254/4213/files/SERUM_TEINTE_51_706d8c95-87bf-49af-ac8f-d180f121061e.png?v=1760098399,lb,,50.00,
platinum-genius-heating-element-flat-iron-colors,Platinum Genius Heating Element Flat Iron,"<h2><strong></strong></h2>
<p>Get ready for silky, smooth hair with the 2022 Royale Platinum Genius Heating Element Straightener! Equipped with 1.25"" 100% ceramic plates, it uses Far Infrared Heat to lock in moisture and protect your hair cuticle. This means faster styling that seals in color and leaves your locks shiny and frizz-free—just like a salon finish. Whether you want sleek straight hair, bouncy curls, or fun waves, this iron does it all! With features like Nano Silver technology, negative ions to tame static, a 360° swivel cord, and adjustable temperature up to 450°F, styling has never been this easy or stylish.</p>",The Beauty Vault,Health & Beauty > Personal Care > Hair Care > Hair Styling Tools > Hair Straighteners,"","",true,Color,Dirty Pink,,Plate type,ceramic,product.metafields.shopify.plate-type,Heat settings,high,product.metafields.shopify.heat-settings,,0.0,shopify,deny,manual,350.00,385.00,true,true,,,,,'810130834822,https://cdn.shopify.com/s/files/1/0766/5254/4213/files/SERUMTEINTE_47.png?v=1760096775,1,"",false,,,,,,,,,,,,,,,,,high,,,,,,,,,,ceramic,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0766/5254/4213/files/SERUMTEINTE_47.png?v=1760096775,lb,,50.00,active
platinum-genius-heating-element-flat-iron-colors,,,,,,,,,Tiffany,,,ceramic,,,high,,,0.0,shopify,deny,manual,350.00,385.00,true,true,,,,,"",https://cdn.shopify.com/s/files/1/0766/5254/4213/files/SERUM_TEINTE_48.png?v=1760097389,2,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0766/5254/4213/files/SERUM_TEINTE_48.png?v=1760097389,lb,,50.00,
platinum-genius-heating-element-flat-iron-colors,,,,,,,,,Roses,,,ceramic,,,high,,,0.0,shopify,deny,manual,350.00,385.00,true,true,,,,,"",https://cdn.shopify.com/s/files/1/0766/5254/4213/files/SERUM_TEINTE_50.png?v=1760097529,3,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0766/5254/4213/files/SERUM_TEINTE_50.png?v=1760097529,lb,,50.00,
platinum-genius-heating-element-flat-iron-colors,,,,,,,,,Stripped Pink,,,ceramic,,,high,,,0.0,shopify,deny,manual,350.00,385.00,true,true,,,,,"",https://cdn.shopify.com/s/files/1/0766/5254/4213/files/SERUM_TEINTE_49.png?v=1760097547,4,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0766/5254/4213/files/SERUM_TEINTE_49.png?v=1760097547,lb,,50.00,
lip-glowy-lightweight-hydration-balm-with-shea-butter-mini,Lip Glowy Lightweight Hydration Balm with Shea Butter (Mini),"<p><img alt="""" src=""https://cdn.shopify.com/s/files/1/0766/5254/4213/files/SERUM_TEINTE_45.png?v=1760069659""></p>
<p>This lightweight, moisture-packed lip balm combines the best of Korean skincare with nourishing shea butter for hydrated, glossy lips wherever you go. Perfect for all skin types, it smooths on effortlessly, leaving lips feeling soft, shiny, and totally kissable—without any stickiness. Vegan, gluten-free, and free from harsh chemicals, this pocket-friendly balm is your new daytime favorite for locking in moisture and boosting lip radiance with a subtle shimmer. Say goodbye to dryness and hello to luscious, glossy lips that shine all day!</p>
<p> </p>",The Beauty Vault,Health & Beauty > Personal Care > Cosmetics > Skin Care > Lip Balms & Treatments > Lip Balms,Makeup,"",true,Flavor,sweet-candy-bonbon-gourmand,product.metafields.shopify.flavor,,,,,,,,4.81941893125,shopify,deny,manual,9.00,,true,true,,,,,"",https://cdn.shopify.com/s/files/1/0766/5254/4213/files/SERUMTEINTE_43.png?v=1760069027,1,"",false,,,,,clear,shea-butter,glossy; radiant; shimmer,,,,,,,sweet-candy-bonbon-gourmand; vanilla,,,,hydrating; moisturizing; softening,,,,,,,,squeeze-tube,,,natural-ingredients; gluten-free; vegan,lotion; cream,,,,,,,,all-skin-types,unisex,,https://cdn.shopify.com/s/files/1/0766/5254/4213/files/SERUMTEINTE_43.png?v=1760069027,oz,,,active
lip-glowy-lightweight-hydration-balm-with-shea-butter-mini,,,,,,,,,vanilla,,,,,,,,,4.81941893125,shopify,deny,manual,9.00,,true,true,,,,,"",https://cdn.shopify.com/s/files/1/0766/5254/4213/files/SERUM_TEINTE_44.png?v=1760069459,2,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0766/5254/4213/files/SERUM_TEINTE_44.png?v=1760069459,oz,,,
dramatically-different-moisturizing-gel-for-face,Dramatically Different Moisturizing Gel For Face,"<p> </p>
<p>This Moisturizing Gel is your go-to for keeping oily and combination skin happy with light, oil-free hydration that stays put for up to 8 hours. It absorbs quickly, leaving your face feeling fresh, balanced, and glowing. Pair it with your favorite 3-Step Skincare System—cleanse, exfoliate, moisturize—for skin that’s ready to wow. Packed with natural treats like sunflower seed, barley, and cucumber extracts, it calms and refreshes all day. Say farewell to shiny spots and hello to smooth, radiant skin!</p>
<section class=""pal-c-Accordion__body"" aria-labelledby="""" id="""">
<div class=""pal-c-Accordion__body--inner"">
<div class=""Markdown Markdown--body-2 Markdown--left"" data-test=""markdown"">
<p> </p>
</div>
</div>
</section>",The Beauty Vault,Health & Beauty > Personal Care > Cosmetics > Skin Care > Face Moisturizers,Skin Care,"",true,Title,Default Title,,,,,,,,,189.9418049375,shopify,deny,manual,45.00,49.00,true,true,,,,,"",https://cdn.shopify.com/s/files/1/0766/5254/4213/files/CliniqueGel.png?v=1760068075,1,"",false,,,hyaluronic-acid; caffeine,,,,,,,,,,,,,,,,,,,,,all-day,,,,,,gel,,,,,,,,oily; combination,,,,oz,,18.00,active
blush-1,Blush,"<p data-start=""163"" data-end=""459"">Experience color that lasts as long as your day does. This lightweight, silky blush blends effortlessly for a natural flush that stays vibrant for up to 16 hours. The ultra-fine pigment mix delivers smooth, even coverage with a soft-focus finish that blurs imperfections and feels barely there.</p>
<p data-start=""461"" data-end=""485""><strong data-start=""461"" data-end=""483"">Why You’ll Love It</strong></p>
<ul data-start=""486"" data-end=""709"">
<li data-start=""486"" data-end=""545"">
<p data-start=""488"" data-end=""545"">Long-wear formula that feels weightless and comfortable</p>
</li>
<li data-start=""546"" data-end=""602"">
<p data-start=""548"" data-end=""602"">True-to-tone color payoff with seamless blendability</p>
</li>
<li data-start=""603"" data-end=""647"">
<p data-start=""605"" data-end=""647"">Smooth, silky texture that glides evenly</p>
</li>
<li data-start=""648"" data-end=""709"">
<p data-start=""650"" data-end=""709"">Soft-focus finish helps blur and refine skin’s appearance</p>
</li>
</ul>
<p data-start=""711"" data-end=""902""><strong data-start=""711"" data-end=""733"">Inside the Formula</strong><br data-start=""733"" data-end=""736"">A unique blend of mineral and pearlescent pigments creates radiant color with a silky touch, while naturally derived ingredients enhance softness and staying power.</p>
<p data-start=""904"" data-end=""975""><strong data-start=""904"" data-end=""917"">Free From</strong><br data-start=""917"" data-end=""920"">Talc • Parabens • Phthalates • Mineral Oil • Sulfates</p>",The Beauty Vault,Health & Beauty > Personal Care > Cosmetics > Makeup > Face Makeup > Blushes & Bronzers,Makeup,"",false,Title,Default Title,,,,,,,,,0.0,shopify,deny,manual,28.00,36.00,true,true,,,,,"",https://cdn.shopify.com/s/files/1/0766/5254/4213/files/nars.png?v=1760066736,1,"",false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,lb,,19.00,draft
